Time,Ay,Vx,Station,Cronometro,AV_Eng,AV_TC,AV_Trans
        7.557, -1.99573504925, 48.1100654602, 93.2349395752,  2.6819999218, 13627.6386719, 13627.6386719, 2672.16040039
        7.558, -1.99577486515, 48.1100921631, 93.2483215332, 2.68300008774, 13627.6367188, 13627.6367188, 2672.15429688
        7.559, -1.99581825733, 48.1101150513, 93.2617034912, 2.68400001526, 13627.6347656, 13627.6347656, 2672.14794922
         7.56, -1.99586498737, 48.1101417542, 93.2750854492, 2.68499994278, 13627.6328125, 13627.6328125, 2672.14135742
        7.561, -1.99591517448,  48.110168457, 93.2884597778, 2.68600010872, 13627.6308594, 13627.6308594, 2672.13500977
        7.562, -1.99596846104, 48.1101951599, 93.3018417358, 2.68700003624, 13627.6289062, 13627.6289062, 2672.12817383
        7.563, -1.99602484703, 48.1102218628, 93.3152236938, 2.68799996376, 13627.6269531, 13627.6269531, 2672.12158203
        7.564, -1.99608433247, 48.1102523804, 93.3286056519, 2.68899989128,     13627.625,     13627.625, 2672.11499023
        7.565, -1.99614655972, 48.1102828979, 93.3419876099, 2.69000005722, 13627.6230469, 13627.6230469,  2672.1081543
        7.566, -1.99621164799, 48.1103134155, 93.3553619385, 2.69099998474, 13627.6201172, 13627.6201172, 2672.10131836
        7.567, -1.99627947807, 48.1103439331, 93.3687438965, 2.69199991226, 13627.6181641, 13627.6181641, 2672.09448242
        7.568, -1.99634969234, 48.1103782654, 93.3821258545,  2.6930000782, 13627.6152344, 13627.6152344, 2672.08789062
        7.569, -1.9964222908, 48.1104125977, 93.3955078125, 2.69400000572, 13627.6132812, 13627.6132812, 2672.08105469
         7.57, -1.99649703503, 48.1104469299, 93.4088897705, 2.69499993324, 13627.6103516, 13627.6103516, 2672.07421875
        7.571, -1.99657404423, 48.1104812622, 93.4222640991, 2.69600009918, 13627.6074219, 13627.6074219, 2672.06762695
        7.572, -1.99665284157, 48.1105194092, 93.4356460571,  2.6970000267, 13627.6044922, 13627.6044922, 2672.06079102
        7.573, -1.99673342705, 48.1105575562, 93.4490280151, 2.69799995422, 13627.6015625, 13627.6015625, 2672.05419922
        7.574, -1.99681568146, 48.1105957031, 93.4624099731, 2.69899988174, 13627.5976562, 13627.5976562, 2672.04760742
        7.575, -1.99689936638, 48.1106376648, 93.4757919312, 2.70000004768, 13627.5947266, 13627.5947266, 2672.04125977
        7.576, -1.9969843626, 48.1106758118, 93.4891738892,  2.7009999752, 13627.5908203, 13627.5908203, 2672.03491211
